,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Suddenly I See,Eye To The Telescope,2005-01-01,['KT Tunstall'],5p9XWUdvbUzmPCukOmwoU3,https://i.scdn.co/image/ab67616d0000b273183730e8038fa632b2c227da,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,audio_features,5p9XWUdvbUzmPCukOmwoU3,spotify:track:5p9XWUdvbUzmPCukOmwoU3,https://api.spotify.com/v1/tracks/5p9XWUdvbUzmPCukOmwoU3,https://api.spotify.com/v1/audio-analysis/5p9XWUdvbUzmPCukOmwoU3,201707,4
11,Put Your Records On,Corinne Bailey Rae,2006-01-01,['Corinne Bailey Rae'],2nGFzvICaeEWjIrBrL2RAx,https://i.scdn.co/image/ab67616d0000b2731ec9b096319afbcc2dca6879,0.739,0.511,9,-7.844,1,0.0362,0.167,1.34e-06,0.133,0.542,96.038,audio_features,2nGFzvICaeEWjIrBrL2RAx,spotify:track:2nGFzvICaeEWjIrBrL2RAx,https://api.spotify.com/v1/tracks/2nGFzvICaeEWjIrBrL2RAx,https://api.spotify.com/v1/audio-analysis/2nGFzvICaeEWjIrBrL2RAx,215360,4
12,I Could Say,"It's Not Me, It's You (Special Edition)",2008-12-02,['Lily Allen'],2W49c7MFcySAOqzX7yfFFe,https://i.scdn.co/image/ab67616d0000b27340c8d7aaf779b7a715dba250,0.605,0.871,2,-5.609,1,0.0311,0.24,0.38,0.145,0.468,124.025,audio_features,2W49c7MFcySAOqzX7yfFFe,spotify:track:2W49c7MFcySAOqzX7yfFFe,https://api.spotify.com/v1/tracks/2W49c7MFcySAOqzX7yfFFe,https://api.spotify.com/v1/audio-analysis/2W49c7MFcySAOqzX7yfFFe,244587,4
13,Love Song,Little Voice,2007-07-03,['Sara Bareilles'],4E6cwWJWZw2zWf7VFbH7wf,https://i.scdn.co/image/ab67616d0000b2731c3e0a58f3ee28af2922e351,0.583,0.786,2,-3.142,0,0.0301,0.0208,0.0,0.188,0.573,123.055,audio_features,4E6cwWJWZw2zWf7VFbH7wf,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/tracks/4E6cwWJWZw2zWf7VFbH7wf,https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf,258827,4
14,1234,The Reminder,2007-01-01,['Feist'],2CzWeyC9zlDpIOZPUUKrBW,https://i.scdn.co/image/ab67616d0000b273b17d3cdd360973516ade9e6d,0.71,0.484,2,-7.415,1,0.049,0.217,3.93e-06,0.0879,0.576,109.951,audio_features,2CzWeyC9zlDpIOZPUUKrBW,spotify:track:2CzWeyC9zlDpIOZPUUKrBW,https://api.spotify.com/v1/tracks/2CzWeyC9zlDpIOZPUUKrBW,https://api.spotify.com/v1/audio-analysis/2CzWeyC9zlDpIOZPUUKrBW,183667,4
15,Littlest Things,"Alright, Still (Bonus Track Version)",2006-05-08,['Lily Allen'],16tU7M0qquqkou1MnipA9h,https://i.scdn.co/image/ab67616d0000b273903b3846b9843677ca51bad9,0.283,0.701,4,-7.595,0,0.135,0.66,1.67e-06,0.111,0.564,165.752,audio_features,16tU7M0qquqkou1MnipA9h,spotify:track:16tU7M0qquqkou1MnipA9h,https://api.spotify.com/v1/tracks/16tU7M0qquqkou1MnipA9h,https://api.spotify.com/v1/audio-analysis/16tU7M0qquqkou1MnipA9h,187413,4
16,If Only,Drastic Fantastic,2007-01-01,['KT Tunstall'],3pWpshInEsUh69ciA8TM8j,https://i.scdn.co/image/ab67616d0000b2738cbde90d6b5153d4e8e2079c,0.587,0.945,9,-4.515,1,0.0506,0.0599,1.78e-06,0.273,0.561,121.466,audio_features,3pWpshInEsUh69ciA8TM8j,spotify:track:3pWpshInEsUh69ciA8TM8j,https://api.spotify.com/v1/tracks/3pWpshInEsUh69ciA8TM8j,https://api.spotify.com/v1/audio-analysis/3pWpshInEsUh69ciA8TM8j,226227,4
17,Like A Star,Corinne Bailey Rae,2006-01-01,['Corinne Bailey Rae'],5Anh8jULgeUgciLHCR25Mk,https://i.scdn.co/image/ab67616d0000b2731ec9b096319afbcc2dca6879,0.606,0.226,2,-10.617,0,0.0347,0.715,0.0001,0.35,0.142,122.711,audio_features,5Anh8jULgeUgciLHCR25Mk,spotify:track:5Anh8jULgeUgciLHCR25Mk,https://api.spotify.com/v1/tracks/5Anh8jULgeUgciLHCR25Mk,https://api.spotify.com/v1/audio-analysis/5Anh8jULgeUgciLHCR25Mk,243213,4
18,Bleeding Love,Spirit,2007,['Leona Lewis'],7wZUrN8oemZfsEd1CGkbXE,https://i.scdn.co/image/ab67616d0000b27334fd9eb8cd48e518598aec55,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,audio_features,7wZUrN8oemZfsEd1CGkbXE,spotify:track:7wZUrN8oemZfsEd1CGkbXE,https://api.spotify.com/v1/tracks/7wZUrN8oemZfsEd1CGkbXE,https://api.spotify.com/v1/audio-analysis/7wZUrN8oemZfsEd1CGkbXE,262467,4
19,4 In The Morning,The Sweet Escape,2006-01-01,['Gwen Stefani'],64fSdRkaB7ksxI9suUGYmi,https://i.scdn.co/image/ab67616d0000b2738dd53da15b55d402dfc3a20e,0.698,0.826,10,-6.261,1,0.031,0.2,0.00013,0.114,0.502,92.409,audio_features,64fSdRkaB7ksxI9suUGYmi,spotify:track:64fSdRkaB7ksxI9suUGYmi,https://api.spotify.com/v1/tracks/64fSdRkaB7ksxI9suUGYmi,https://api.spotify.com/v1/audio-analysis/64fSdRkaB7ksxI9suUGYmi,291107,4
