,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Bootman,You'll Understand,2017-02-10,['Ross from Friends'],3mNXKbWX8ZAL8AW97dnoLq,https://i.scdn.co/image/ab67616d0000b273088d99c85e6de4f30b39679c,0.793,0.633,2,-12.195,0,0.0509,0.117,0.33,0.45,0.246,115.008,audio_features,3mNXKbWX8ZAL8AW97dnoLq,spotify:track:3mNXKbWX8ZAL8AW97dnoLq,https://api.spotify.com/v1/tracks/3mNXKbWX8ZAL8AW97dnoLq,https://api.spotify.com/v1/audio-analysis/3mNXKbWX8ZAL8AW97dnoLq,365969,4
11,3210 - Ross from Friends Remix,3210 (Ross from Friends Remix),2022-03-30,"['Jeshi', 'Ross from Friends']",1PfbIpFjsS1BayUoqB3X7O,https://i.scdn.co/image/ab67616d0000b2733cfa0900ae06850b927cc97e,0.69,0.725,6,-9.94,0,0.2,0.0392,0.00474,0.116,0.358,140.05,audio_features,1PfbIpFjsS1BayUoqB3X7O,spotify:track:1PfbIpFjsS1BayUoqB3X7O,https://api.spotify.com/v1/tracks/1PfbIpFjsS1BayUoqB3X7O,https://api.spotify.com/v1/audio-analysis/1PfbIpFjsS1BayUoqB3X7O,352665,4
12,Pale Blue Dot,Family Portrait,2018-07-27,['Ross from Friends'],550Pb9Yd013wSWij1lT4Om,https://i.scdn.co/image/ab67616d0000b273e5ede01d67d1b1d36359187a,0.608,0.736,2,-9.182,0,0.0476,0.0389,0.398,0.346,0.0391,126.028,audio_features,550Pb9Yd013wSWij1lT4Om,spotify:track:550Pb9Yd013wSWij1lT4Om,https://api.spotify.com/v1/tracks/550Pb9Yd013wSWij1lT4Om,https://api.spotify.com/v1/audio-analysis/550Pb9Yd013wSWij1lT4Om,238295,4
13,XXX Olympiad,Tread,2021-10-22,['Ross from Friends'],6jcAdcwFdclYfAykXwgvAI,https://i.scdn.co/image/ab67616d0000b2739eff4ce3343c1f1c7b949063,0.609,0.748,11,-10.766,1,0.0362,0.306,0.854,0.12,0.502,134.014,audio_features,6jcAdcwFdclYfAykXwgvAI,spotify:track:6jcAdcwFdclYfAykXwgvAI,https://api.spotify.com/v1/tracks/6jcAdcwFdclYfAykXwgvAI,https://api.spotify.com/v1/audio-analysis/6jcAdcwFdclYfAykXwgvAI,311528,4
14,Gettin' It Done,You'll Understand,2017-02-10,['Ross from Friends'],0s2HlRZzjWlhmfLdp4rDEy,https://i.scdn.co/image/ab67616d0000b273088d99c85e6de4f30b39679c,0.843,0.704,6,-11.501,0,0.0511,0.00406,0.763,0.0997,0.888,126.987,audio_features,0s2HlRZzjWlhmfLdp4rDEy,spotify:track:0s2HlRZzjWlhmfLdp4rDEy,https://api.spotify.com/v1/tracks/0s2HlRZzjWlhmfLdp4rDEy,https://api.spotify.com/v1/audio-analysis/0s2HlRZzjWlhmfLdp4rDEy,306685,4
15,High Energy,Panorama Bar 07 Part 2,2018-11-02,['Various Artists'],1rzpBug5iLlcjTJcHF5OeL,https://i.scdn.co/image/ab67616d0000b273c8f09c77abd9d1005fa79b72,0.745,0.789,6,-7.245,0,0.0926,0.0469,0.821,0.0675,0.614,128.988,audio_features,1rzpBug5iLlcjTJcHF5OeL,spotify:track:1rzpBug5iLlcjTJcHF5OeL,https://api.spotify.com/v1/tracks/1rzpBug5iLlcjTJcHF5OeL,https://api.spotify.com/v1/audio-analysis/1rzpBug5iLlcjTJcHF5OeL,346046,4
16,Happy Birthday Nick,Family Portrait,2018-07-27,['Ross from Friends'],28RSJSLDO3lEKjGvEUlDFo,https://i.scdn.co/image/ab67616d0000b273e5ede01d67d1b1d36359187a,0.295,0.676,8,-12.103,0,0.195,0.685,0.435,0.267,0.346,163.376,audio_features,28RSJSLDO3lEKjGvEUlDFo,spotify:track:28RSJSLDO3lEKjGvEUlDFo,https://api.spotify.com/v1/tracks/28RSJSLDO3lEKjGvEUlDFo,https://api.spotify.com/v1/audio-analysis/28RSJSLDO3lEKjGvEUlDFo,97373,4
17,Grub,Tread,2021-10-22,['Ross from Friends'],13uaLeWXilrebiSC4QMbCn,https://i.scdn.co/image/ab67616d0000b2739eff4ce3343c1f1c7b949063,0.574,0.651,10,-13.392,0,0.0507,0.124,0.729,0.175,0.351,135.974,audio_features,13uaLeWXilrebiSC4QMbCn,spotify:track:13uaLeWXilrebiSC4QMbCn,https://api.spotify.com/v1/tracks/13uaLeWXilrebiSC4QMbCn,https://api.spotify.com/v1/audio-analysis/13uaLeWXilrebiSC4QMbCn,268625,4
18,Would You Still Be Here,The Outsiders,2017-08-04,['Ross from Friends'],0WdL7PTMXDWU9drLgqHPFi,https://i.scdn.co/image/ab67616d0000b2737a7a3502bd129f140cb5a341,0.757,0.809,1,-8.405,0,0.0379,0.00577,0.567,0.123,0.479,125.006,audio_features,0WdL7PTMXDWU9drLgqHPFi,spotify:track:0WdL7PTMXDWU9drLgqHPFi,https://api.spotify.com/v1/tracks/0WdL7PTMXDWU9drLgqHPFi,https://api.spotify.com/v1/audio-analysis/0WdL7PTMXDWU9drLgqHPFi,439823,4
19,March,Aphelion EP,2018-04-06,['Ross from Friends'],55IQ83Wy1RcQ9e2kZPEN7q,https://i.scdn.co/image/ab67616d0000b273063a26a66405a3de2eb7e93d,0.789,0.864,4,-9.194,1,0.0572,0.0429,0.826,0.144,0.864,123.985,audio_features,55IQ83Wy1RcQ9e2kZPEN7q,spotify:track:55IQ83Wy1RcQ9e2kZPEN7q,https://api.spotify.com/v1/tracks/55IQ83Wy1RcQ9e2kZPEN7q,https://api.spotify.com/v1/audio-analysis/55IQ83Wy1RcQ9e2kZPEN7q,415544,4
