,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Boss Bitch,Boss Bitch,2020-01-23,['Doja Cat'],78qd8dvwea0Gosb6Fe6j3k,https://i.scdn.co/image/ab67616d0000b27310356a0e81371e6644cb1371,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,audio_features,78qd8dvwea0Gosb6Fe6j3k,spotify:track:78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/tracks/78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/audio-analysis/78qd8dvwea0Gosb6Fe6j3k,134240,4
11,Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous,1979,['ABBA'],3vkQ5DAB1qQMYO4Mr9zJN6,https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec,0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,audio_features,3vkQ5DAB1qQMYO4Mr9zJN6,spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6,https://api.spotify.com/v1/tracks/3vkQ5DAB1qQMYO4Mr9zJN6,https://api.spotify.com/v1/audio-analysis/3vkQ5DAB1qQMYO4Mr9zJN6,292613,4
12,Kiwi,Harry Styles,2017-05-12,['Harry Styles'],33SNO8AaciGbNaQFkxvPrW,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,0.375,0.93,2,-2.631,1,0.0561,0.00064,0.0,0.318,0.491,147.124,audio_features,33SNO8AaciGbNaQFkxvPrW,spotify:track:33SNO8AaciGbNaQFkxvPrW,https://api.spotify.com/v1/tracks/33SNO8AaciGbNaQFkxvPrW,https://api.spotify.com/v1/audio-analysis/33SNO8AaciGbNaQFkxvPrW,176387,4
13,Mardy Bum,"Whatever People Say I Am, That's What I'm Not",2006-01-29,['Arctic Monkeys'],2fyIS6GXMgUcSv4oejx63f,https://i.scdn.co/image/ab67616d0000b2736b3fa88bdd4af566fbbf2bbf,0.634,0.599,2,-5.447,1,0.0365,0.0288,0.0,0.197,0.312,112.215,audio_features,2fyIS6GXMgUcSv4oejx63f,spotify:track:2fyIS6GXMgUcSv4oejx63f,https://api.spotify.com/v1/tracks/2fyIS6GXMgUcSv4oejx63f,https://api.spotify.com/v1/audio-analysis/2fyIS6GXMgUcSv4oejx63f,175440,4
14,I Kissed A Girl,One Of The Boys,2008-06-17,['Katy Perry'],14iN3o8ptQ8cFVZTEmyQRV,https://i.scdn.co/image/ab67616d0000b2733f97d4244eff5852477d9ee0,0.699,0.76,5,-3.173,1,0.0677,0.00223,0.0,0.132,0.696,129.996,audio_features,14iN3o8ptQ8cFVZTEmyQRV,spotify:track:14iN3o8ptQ8cFVZTEmyQRV,https://api.spotify.com/v1/tracks/14iN3o8ptQ8cFVZTEmyQRV,https://api.spotify.com/v1/audio-analysis/14iN3o8ptQ8cFVZTEmyQRV,179640,4
15,Hot N Cold,One Of The Boys,2008-06-17,['Katy Perry'],0iGckQFyv6svOfAbAY9aWJ,https://i.scdn.co/image/ab67616d0000b2733f97d4244eff5852477d9ee0,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,audio_features,0iGckQFyv6svOfAbAY9aWJ,spotify:track:0iGckQFyv6svOfAbAY9aWJ,https://api.spotify.com/v1/tracks/0iGckQFyv6svOfAbAY9aWJ,https://api.spotify.com/v1/audio-analysis/0iGckQFyv6svOfAbAY9aWJ,220227,4
16,Bloody Mary,Born This Way (International Special Edition Version),2011-05-23,['Lady Gaga'],53jnnqFSRGMDB9ADrNriCA,https://i.scdn.co/image/ab67616d0000b273a5d31644260279be8d0c46c0,0.591,0.637,9,-6.365,0,0.03,0.0107,1.95e-06,0.113,0.432,99.998,audio_features,53jnnqFSRGMDB9ADrNriCA,spotify:track:53jnnqFSRGMDB9ADrNriCA,https://api.spotify.com/v1/tracks/53jnnqFSRGMDB9ADrNriCA,https://api.spotify.com/v1/audio-analysis/53jnnqFSRGMDB9ADrNriCA,244760,4
17,That's My Girl,7/27 (Deluxe),2016-05-27,['Fifth Harmony'],2ACOWPLUe4A4KuQ5ioD2od,https://i.scdn.co/image/ab67616d0000b273d03fa6f4e758282b7920b5c8,0.596,0.851,5,-4.245,0,0.121,0.0358,3.19e-05,0.365,0.612,202.049,audio_features,2ACOWPLUe4A4KuQ5ioD2od,spotify:track:2ACOWPLUe4A4KuQ5ioD2od,https://api.spotify.com/v1/tracks/2ACOWPLUe4A4KuQ5ioD2od,https://api.spotify.com/v1/audio-analysis/2ACOWPLUe4A4KuQ5ioD2od,204013,4
18,Super Freaky Girl,Queen Radio: Volume 1,2022-08-26,['Nicki Minaj'],2yjlYDiNiQkdxVqTlaSrlX,https://i.scdn.co/image/ab67616d0000b273facb808b493713699283feca,0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,audio_features,2yjlYDiNiQkdxVqTlaSrlX,spotify:track:2yjlYDiNiQkdxVqTlaSrlX,https://api.spotify.com/v1/tracks/2yjlYDiNiQkdxVqTlaSrlX,https://api.spotify.com/v1/audio-analysis/2yjlYDiNiQkdxVqTlaSrlX,170977,4
19,Diet Mountain Dew,Born To Die - The Paradise Edition,2012-01-01,['Lana Del Rey'],2vtmY2mSccRzKGjtcHSzI3,https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918,0.595,0.696,10,-5.921,0,0.0417,0.276,0.0,0.411,0.533,88.013,audio_features,2vtmY2mSccRzKGjtcHSzI3,spotify:track:2vtmY2mSccRzKGjtcHSzI3,https://api.spotify.com/v1/tracks/2vtmY2mSccRzKGjtcHSzI3,https://api.spotify.com/v1/audio-analysis/2vtmY2mSccRzKGjtcHSzI3,222920,4
20,I Am (feat. Flo Milli),After The Rain: Deluxe,2021-05-21,['Baby Tate'],74SN9LSBx4lvifK18ZiFJj,https://i.scdn.co/image/ab67616d0000b2731d3781d72abae967c5a135f2,0.932,0.835,1,-3.912,1,0.154,0.107,0.0,0.0769,0.925,144.014,audio_features,74SN9LSBx4lvifK18ZiFJj,spotify:track:74SN9LSBx4lvifK18ZiFJj,https://api.spotify.com/v1/tracks/74SN9LSBx4lvifK18ZiFJj,https://api.spotify.com/v1/audio-analysis/74SN9LSBx4lvifK18ZiFJj,181620,4
21,God is a woman,Sweetener,2018-08-17,['Ariana Grande'],5OCJzvD7sykQEKHH7qAC3C,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,audio_features,5OCJzvD7sykQEKHH7qAC3C,spotify:track:5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/tracks/5OCJzvD7sykQEKHH7qAC3C,https://api.spotify.com/v1/audio-analysis/5OCJzvD7sykQEKHH7qAC3C,197547,4
22,In Da Club,Get Rich Or Die Tryin' (Explicit UK Version),2003-02-06,['50 Cent'],5xzN3p8DlPv7bBhV8mCdao,https://i.scdn.co/image/ab67616d0000b273ad676742b4c5ff126050ab90,0.908,0.721,1,-2.761,0,0.316,0.274,0.0,0.0758,0.767,90.01,audio_features,5xzN3p8DlPv7bBhV8mCdao,spotify:track:5xzN3p8DlPv7bBhV8mCdao,https://api.spotify.com/v1/tracks/5xzN3p8DlPv7bBhV8mCdao,https://api.spotify.com/v1/audio-analysis/5xzN3p8DlPv7bBhV8mCdao,193467,4
