,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Heart Of Glass - Special Mix,Best Of Blondie,1981-10-31,['Blondie'],0a4agFmqHXxcZl1nho1BxM,https://i.scdn.co/image/ab67616d0000b2738cf86a9be38868f1d73cdb58,0.694,0.577,4,-14.63,1,0.0308,0.015,0.00836,0.0853,0.845,114.478,audio_features,0a4agFmqHXxcZl1nho1BxM,spotify:track:0a4agFmqHXxcZl1nho1BxM,https://api.spotify.com/v1/tracks/0a4agFmqHXxcZl1nho1BxM,https://api.spotify.com/v1/audio-analysis/0a4agFmqHXxcZl1nho1BxM,275733,4
11,You Don't Own Me,Lesley Gore Sings Of Mixed-Up Hearts,1963-11-01,['Lesley Gore'],7ngRS53kqxLcEt9Pythc5d,https://i.scdn.co/image/ab67616d0000b2731f88f87d7b1df743015cacac,0.473,0.434,2,-10.02,1,0.0257,0.701,0.0,0.628,0.711,94.814,audio_features,7ngRS53kqxLcEt9Pythc5d,spotify:track:7ngRS53kqxLcEt9Pythc5d,https://api.spotify.com/v1/tracks/7ngRS53kqxLcEt9Pythc5d,https://api.spotify.com/v1/audio-analysis/7ngRS53kqxLcEt9Pythc5d,150000,3
12,Hit Me With Your Best Shot,Crimes Of Passion,1980-08-05,['Pat Benatar'],0vOkmmJEtjuFZDzrQSFzEE,https://i.scdn.co/image/ab67616d0000b2731b83255ef342451b977987aa,0.741,0.58,4,-9.05,1,0.0304,0.117,3.31e-05,0.212,0.944,127.402,audio_features,0vOkmmJEtjuFZDzrQSFzEE,spotify:track:0vOkmmJEtjuFZDzrQSFzEE,https://api.spotify.com/v1/tracks/0vOkmmJEtjuFZDzrQSFzEE,https://api.spotify.com/v1/audio-analysis/0vOkmmJEtjuFZDzrQSFzEE,171267,4
13,Woman,Harry Styles,2017-05-12,['Harry Styles'],33bURv895AN4FkBvgFo2dx,https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859,0.624,0.647,3,-4.68,0,0.0335,0.0169,0.0038,0.221,0.379,136.022,audio_features,33bURv895AN4FkBvgFo2dx,spotify:track:33bURv895AN4FkBvgFo2dx,https://api.spotify.com/v1/tracks/33bURv895AN4FkBvgFo2dx,https://api.spotify.com/v1/audio-analysis/33bURv895AN4FkBvgFo2dx,278800,4
14,Hanging On The Telephone - Remastered,Parallel Lines (Remastered),1978-09-01,['Blondie'],343iSx7QQ41UeroboMrhmh,https://i.scdn.co/image/ab67616d0000b2736d23211741238ed227699c9d,0.503,0.824,5,-5.771,0,0.0757,0.00191,6.54e-05,0.219,0.581,152.396,audio_features,343iSx7QQ41UeroboMrhmh,spotify:track:343iSx7QQ41UeroboMrhmh,https://api.spotify.com/v1/tracks/343iSx7QQ41UeroboMrhmh,https://api.spotify.com/v1/audio-analysis/343iSx7QQ41UeroboMrhmh,142293,4
15,Vogue,The Immaculate Collection,1990-11-09,['Madonna'],7j5TIXPi0cCbSSqItmbyZy,https://i.scdn.co/image/ab67616d0000b273e275f1fbda1c7bc82f9c386b,0.748,0.84,6,-7.701,1,0.0421,0.00348,0.00647,0.44,0.304,115.997,audio_features,7j5TIXPi0cCbSSqItmbyZy,spotify:track:7j5TIXPi0cCbSSqItmbyZy,https://api.spotify.com/v1/tracks/7j5TIXPi0cCbSSqItmbyZy,https://api.spotify.com/v1/audio-analysis/7j5TIXPi0cCbSSqItmbyZy,317080,4
16,Livin' la Vida Loca,Ricky Martin,1999,['Ricky Martin'],0Ph6L4l8dYUuXFmb71Ajnd,https://i.scdn.co/image/ab67616d0000b273e7e9b85cc1f021ec12130d80,0.425,0.954,1,-3.756,0,0.0476,0.00414,0.0,0.0555,0.933,178.043,audio_features,0Ph6L4l8dYUuXFmb71Ajnd,spotify:track:0Ph6L4l8dYUuXFmb71Ajnd,https://api.spotify.com/v1/tracks/0Ph6L4l8dYUuXFmb71Ajnd,https://api.spotify.com/v1/audio-analysis/0Ph6L4l8dYUuXFmb71Ajnd,243160,4
17,These Boots Are Made For Walkin',Boots,1966-03,['Nancy Sinatra'],2nwCO1PqpvyoFIvq3Vrj8N,https://i.scdn.co/image/ab67616d0000b273b16991c5257c7d27033dd50a,0.74,0.392,9,-11.996,1,0.0824,0.483,1.11e-06,0.0965,0.387,82.742,audio_features,2nwCO1PqpvyoFIvq3Vrj8N,spotify:track:2nwCO1PqpvyoFIvq3Vrj8N,https://api.spotify.com/v1/tracks/2nwCO1PqpvyoFIvq3Vrj8N,https://api.spotify.com/v1/audio-analysis/2nwCO1PqpvyoFIvq3Vrj8N,166008,4
18,Jenny from the Block,Back & Forth,2015-07-10,['Various Artists'],6tzXYYFIyT4exRUghjHOsp,https://i.scdn.co/image/ab67616d0000b27387a190e2b5febdae9d9e2c22,0.844,0.785,6,-4.471,1,0.168,0.0129,0.0,0.0516,0.961,99.996,audio_features,6tzXYYFIyT4exRUghjHOsp,spotify:track:6tzXYYFIyT4exRUghjHOsp,https://api.spotify.com/v1/tracks/6tzXYYFIyT4exRUghjHOsp,https://api.spotify.com/v1/audio-analysis/6tzXYYFIyT4exRUghjHOsp,187907,4
19,Hollaback Girl,Love Angel Music Baby,2004-11-22,['Gwen Stefani'],0eqH0ALoDQevq59YcQ53KE,https://i.scdn.co/image/ab67616d0000b273f049fc9322f0c93646cdcc77,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,audio_features,0eqH0ALoDQevq59YcQ53KE,spotify:track:0eqH0ALoDQevq59YcQ53KE,https://api.spotify.com/v1/tracks/0eqH0ALoDQevq59YcQ53KE,https://api.spotify.com/v1/audio-analysis/0eqH0ALoDQevq59YcQ53KE,199853,4
