,name,album,year,artists,track_id,image,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
29,80's makeout session,80's makeout session,2019-07-24,['dacelynn'],6RObO033GGC7mReVoRQJPU,https://i.scdn.co/image/ab67616d0000b273ae3cfd89200c37f3691c1b87,0.758,0.397,0,-11.169,1,0.0745,0.634,0.0,0.272,0.289,96.0,audio_features,6RObO033GGC7mReVoRQJPU,spotify:track:6RObO033GGC7mReVoRQJPU,https://api.spotify.com/v1/tracks/6RObO033GGC7mReVoRQJPU,https://api.spotify.com/v1/audio-analysis/6RObO033GGC7mReVoRQJPU,102468,4
30,Beautiful Boy (Darling Boy) - Remastered 2010,Double Fantasy,1980-11-17,"['John Lennon', 'Yoko Ono']",5URfZHMlUWTWxPvvSBWcPk,https://i.scdn.co/image/ab67616d0000b2730488a5c4e21edc24526652ae,0.574,0.469,2,-11.53,1,0.0403,0.733,1.96e-06,0.856,0.435,111.378,audio_features,5URfZHMlUWTWxPvvSBWcPk,spotify:track:5URfZHMlUWTWxPvvSBWcPk,https://api.spotify.com/v1/tracks/5URfZHMlUWTWxPvvSBWcPk,https://api.spotify.com/v1/audio-analysis/5URfZHMlUWTWxPvvSBWcPk,245693,4
31,Homage,Skiptracing,2016-08-26,['Mild High Club'],7DcJ6fEBb7BaKuYKTwiDxK,https://i.scdn.co/image/ab67616d0000b27396bc7d5bd0b6488de76598ab,0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,audio_features,7DcJ6fEBb7BaKuYKTwiDxK,spotify:track:7DcJ6fEBb7BaKuYKTwiDxK,https://api.spotify.com/v1/tracks/7DcJ6fEBb7BaKuYKTwiDxK,https://api.spotify.com/v1/audio-analysis/7DcJ6fEBb7BaKuYKTwiDxK,177493,4
32,Best Day Of My Life,"Oh, What A Life",2014-01-01,['American Authors'],5Hroj5K7vLpIG4FNCRIjbP,https://i.scdn.co/image/ab67616d0000b273cc761ba55b0e7abad4539abe,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,audio_features,5Hroj5K7vLpIG4FNCRIjbP,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,https://api.spotify.com/v1/tracks/5Hroj5K7vLpIG4FNCRIjbP,https://api.spotify.com/v1/audio-analysis/5Hroj5K7vLpIG4FNCRIjbP,194240,4
33,This Guy's In Love With You,The Beat Of The Brass,1968-05-01,['Herb Alpert & The Tijuana Brass'],5hffP5gJFe1zByXf7BIeYq,https://i.scdn.co/image/ab67616d0000b273b0191449173fd89e27f96817,0.635,0.167,1,-12.998,1,0.0403,0.858,0.000999,0.213,0.246,83.767,audio_features,5hffP5gJFe1zByXf7BIeYq,spotify:track:5hffP5gJFe1zByXf7BIeYq,https://api.spotify.com/v1/tracks/5hffP5gJFe1zByXf7BIeYq,https://api.spotify.com/v1/audio-analysis/5hffP5gJFe1zByXf7BIeYq,239733,4
34,Eleanor Rigby,Yellow Submarine Songtrack,2014-01-01,['The Beatles'],6EOKwO6WaLal58MSsi6U4W,https://i.scdn.co/image/ab67616d0000b273d807dd713cdfbeed142881e2,0.521,0.301,4,-7.118,0,0.0356,0.836,0.0,0.398,0.621,137.382,audio_features,6EOKwO6WaLal58MSsi6U4W,spotify:track:6EOKwO6WaLal58MSsi6U4W,https://api.spotify.com/v1/tracks/6EOKwO6WaLal58MSsi6U4W,https://api.spotify.com/v1/audio-analysis/6EOKwO6WaLal58MSsi6U4W,125227,4
35,Somebody's Watching Me,Body By Jake: Randy Couture Workout Mix (BPM 104-144),2012-02-01,['Various Artists'],2H2379xRxgQVvcOSoL8Ajr,https://i.scdn.co/image/ab67616d0000b273976fe3fd49591eb4c458112a,0.792,0.62,1,-6.204,0,0.0344,0.123,4.12e-05,0.0548,0.843,123.933,audio_features,2H2379xRxgQVvcOSoL8Ajr,spotify:track:2H2379xRxgQVvcOSoL8Ajr,https://api.spotify.com/v1/tracks/2H2379xRxgQVvcOSoL8Ajr,https://api.spotify.com/v1/audio-analysis/2H2379xRxgQVvcOSoL8Ajr,293933,4
36,Problems,Eureka,2011-03-15,['Mother Mother'],0mFSV2Bawz8i9wnlc9eYme,https://i.scdn.co/image/ab67616d0000b2730593d798ca1c1e45eedb1df6,0.629,0.85,1,-3.653,1,0.0261,0.00802,0.0284,0.155,0.526,104.033,audio_features,0mFSV2Bawz8i9wnlc9eYme,spotify:track:0mFSV2Bawz8i9wnlc9eYme,https://api.spotify.com/v1/tracks/0mFSV2Bawz8i9wnlc9eYme,https://api.spotify.com/v1/audio-analysis/0mFSV2Bawz8i9wnlc9eYme,207533,4
37,More Than A Woman,Greatest,1979-01-01,['Bee Gees'],49OMJ1prsRA7ZYgrAjz70c,https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7,0.632,0.683,7,-6.434,1,0.0383,0.163,0.00013,0.847,0.701,105.955,audio_features,49OMJ1prsRA7ZYgrAjz70c,spotify:track:49OMJ1prsRA7ZYgrAjz70c,https://api.spotify.com/v1/tracks/49OMJ1prsRA7ZYgrAjz70c,https://api.spotify.com/v1/audio-analysis/49OMJ1prsRA7ZYgrAjz70c,197213,4
38,Girls Just Want to Have Fun,She's So Unusual,1983-10-14,['Cyndi Lauper'],4y1LsJpmMti1PfRQV9AWWe,https://i.scdn.co/image/ab67616d0000b27352f532df7ba3269b0242fed9,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,audio_features,4y1LsJpmMti1PfRQV9AWWe,spotify:track:4y1LsJpmMti1PfRQV9AWWe,https://api.spotify.com/v1/tracks/4y1LsJpmMti1PfRQV9AWWe,https://api.spotify.com/v1/audio-analysis/4y1LsJpmMti1PfRQV9AWWe,238267,4
39,Hooked On A Feeling,Hooked On A Feeling,1973-04-01,"['Blue Swede', 'Björn Skifs']",6Ac4NVYYl2U73QiTt11ZKd,https://i.scdn.co/image/ab67616d0000b273b2439940aedd2801c9ae2e5b,0.547,0.82,8,-6.728,1,0.0805,0.261,0.0,0.3,0.933,118.208,audio_features,6Ac4NVYYl2U73QiTt11ZKd,spotify:track:6Ac4NVYYl2U73QiTt11ZKd,https://api.spotify.com/v1/tracks/6Ac4NVYYl2U73QiTt11ZKd,https://api.spotify.com/v1/audio-analysis/6Ac4NVYYl2U73QiTt11ZKd,172867,4
40,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],2013-04-19,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",2Foc5Q5nqNiosCNqttzHof,https://i.scdn.co/image/ab67616d0000b2731d5cf960a92bb8b03fc2be7f,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,audio_features,2Foc5Q5nqNiosCNqttzHof,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/audio-analysis/2Foc5Q5nqNiosCNqttzHof,248413,4
41,World's Smallest Violin,OK ORCHESTRA,2021-03-26,['AJR'],68EkhVWIeULhHxcbi1QhzK,https://i.scdn.co/image/ab67616d0000b2730f0e7900a102aaa70ed30d3e,0.68,0.697,5,-7.01,1,0.0484,0.121,0.0,0.661,0.684,116.033,audio_features,68EkhVWIeULhHxcbi1QhzK,spotify:track:68EkhVWIeULhHxcbi1QhzK,https://api.spotify.com/v1/tracks/68EkhVWIeULhHxcbi1QhzK,https://api.spotify.com/v1/audio-analysis/68EkhVWIeULhHxcbi1QhzK,180747,4
42,Zanzibar,52nd Street,1978-10-13,['Billy Joel'],70Znjq5VPKFrwlB7O26SWT,https://i.scdn.co/image/ab67616d0000b2731d4675d5a0345bb93686e4b6,0.589,0.46,9,-14.54,0,0.0511,0.271,4.95e-05,0.224,0.705,148.172,audio_features,70Znjq5VPKFrwlB7O26SWT,spotify:track:70Znjq5VPKFrwlB7O26SWT,https://api.spotify.com/v1/tracks/70Znjq5VPKFrwlB7O26SWT,https://api.spotify.com/v1/audio-analysis/70Znjq5VPKFrwlB7O26SWT,310760,4
43,Love Like You (feat. Rebecca Sugar) - End Credits,"Steven Universe, Vol. 1 (Original Soundtrack)",2017-06-02,['Steven Universe'],3z9OnsnvM6SFN2dzrSDdVO,https://i.scdn.co/image/ab67616d0000b273e18ff29a2fe8e9c0df309fa6,0.591,0.242,0,-10.098,0,0.0312,0.879,0.0,0.15,0.292,118.001,audio_features,3z9OnsnvM6SFN2dzrSDdVO,spotify:track:3z9OnsnvM6SFN2dzrSDdVO,https://api.spotify.com/v1/tracks/3z9OnsnvM6SFN2dzrSDdVO,https://api.spotify.com/v1/audio-analysis/3z9OnsnvM6SFN2dzrSDdVO,143630,3
